,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
37,NOG,"Northern Oil and Gas, Inc.",,28.44 +0.95 (+3.46%),0.95,+3.46%,1.261M,1.667M,2.819B,5.53,-25.20%,
38,CWEN-A,"Clearway Energy, Inc.",,26.86 +0.94 (+3.65%),0.94,+3.65%,278164,192033,5.651B,35.82,25.10%,
39,CTSH,Cognizant Technology Solutions Corporation,,86.15 +2.92 (+3.51%),2.92,+3.51%,4.795M,3.387M,42.611B,19.10,8.15%,
40,HOG,"Harley-Davidson, Inc.",,26.99 +0.90 (+3.45%),0.9,+3.45%,2.609M,2.09M,3.361B,7.85,-33.14%,
41,MEDP,"Medpace Holdings, Inc.",,344.40 +11.60 (+3.48%),11.6,+3.48%,277731,289586,10.493B,27.31,-17.49%,
42,NOC,Northrop Grumman Corporation,,503.68 +17.16 (+3.53%),17.16,+3.53%,759232,926800,72.911B,17.76,5.94%,
43,MRNA,"Moderna, Inc.",,36.73 +1.12 (+3.15%),1.12,+3.15%,6.992M,11.547M,14.171B,-,-68.20%,
44,NEE,"NextEra Energy, Inc.",,75.39 +2.56 (+3.52%),2.56,+3.52%,8.591M,10.844M,155.079B,22.37,25.85%,
45,CWEN,"Clearway Energy, Inc.",,28.54 +0.92 (+3.33%),0.92,+3.33%,688632,856917,5.633B,38.05,23.91%,
46,CAG,"Conagra Brands, Inc.",,28.15 +0.92 (+3.38%),0.92,+3.38%,4.844M,5.714M,13.437B,27.33,-4.56%,
47,GIS,"General Mills, Inc.",,66.61 +2.11 (+3.27%),2.11,+3.27%,3.824M,4.883M,36.717B,14.48,-1.77%,
48,PCAR,PACCAR Inc,,113.69 +3.63 (+3.30%),3.63,+3.30%,2.369M,2.406M,59.665B,14.39,-3.48%,
49,COP,ConocoPhillips,,93.58 +2.96 (+3.26%),2.96,+3.26%,5.48M,7.534M,119.076B,11.98,-21.36%,
50,UAA,"Under Armour, Inc.",,7.33 +0.25 (+3.53%),0.25,+3.53%,6.892M,10.564M,3.014B,-,-14.70%,
51,BEPC,Brookfield Renewable Corporation,,28.55 +0.88 (+3.18%),0.88,+3.18%,522538,1.009M,5.159B,21.79,9.63%,
52,AEP,"American Electric Power Company, Inc.",,108.03 +3.41 (+3.26%),3.41,+3.26%,2.134M,3.197M,57.603B,19.36,24.95%,
53,COTY,Coty Inc.,,6.04 +0.19 (+3.25%),0.19,+3.25%,3.357M,6.507M,5.267B,-,-53.86%,
54,CPB,The Campbell's Company,,43.07 +1.26 (+3.01%),1.26,+3.01%,1.951M,3.171M,12.843B,24.90,-2.79%,
55,BF-B,Brown-Forman Corporation,,38.10 +1.17 (+3.17%),1.17,+3.17%,2.469M,3.267M,17.949B,18.23,-33.05%,
56,BLDR,"Builders FirstSource, Inc.",,138.70 +4.19 (+3.11%),4.19,+3.11%,920999,1.698M,15.759B,15.29,-30.20%,
57,RHP,"Ryman Hospitality Properties, Inc.",,101.86 +3.04 (+3.08%),3.04,+3.08%,1.051M,515036,6.102B,23.26,-14.99%,
58,MGEE,"MGE Energy, Inc.",,92.74 +2.78 (+3.08%),2.78,+3.08%,107694,164260,3.386B,27.85,13.73%,
59,ED,"Consolidated Edison, Inc.",,106.83 +3.19 (+3.07%),3.19,+3.07%,1.293M,2.608M,37.717B,20.39,14.14%,
60,MUR,Murphy Oil Corporation,,26.16 +0.80 (+3.13%),0.8,+3.13%,1.675M,2.535M,3.815B,9.62,-39.63%,
61,RRC,Range Resources Corporation,,36.28 +1.06 (+3.00%),1.06,+3.00%,1.418M,2.734M,8.754B,33.28,7.77%,
